t_rel_s,t_unix,touch_t_stm_s,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v04,v10,v11,v12,v13,v14,v20,v21,v22,v23,v24,v30,v31,v32,v33,v34,v40,v41,v42,v43,v44
0.0705,1782562475.9335,2926.224455,0.0000,0.0000,0.00000,3.2912,3.2742,3.2927,3.2919,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.3000,3.2944,3.2919,3.2847,3.2839,3.2903,3.2839,3.2952,3.2557,3.2807,3.2879,3.2871,3.2952
0.0715,1782562475.9346,2926.225654,0.0000,0.0000,0.00000,3.2928,3.3000,3.3000,3.3000,3.2976,3.2919,3.3000,3.3000,3.3000,3.2871,3.2895,3.2557,3.2807,3.2823,3.2839,3.2968,3.2799,3.2968,3.2919,3.3000,3.2968,3.2968,3.3000,3.3000,3.3000,3.2936
0.0731,1782562475.9361,2926.226855,0.0000,0.0000,0.00000,3.2919,3.2879,3.2839,3.2879,3.2871,3.2936,3.2549,3.2799,3.2863,3.2871,3.2968,3.2863,3.3000,3.2976,3.3000,3.2968,3.3000,3.3000,3.3000,3.3000,3.2927,3.3000,3.3000,3.2992,3.2887,3.2911
0.0746,1782562475.9377,2926.228055,0.0000,0.0000,0.00000,3.2904,3.2573,3.2839,3.2871,3.2968,3.2960,3.2927,3.2984,3.2984,3.3000,3.2992,3.3000,3.3000,3.3000,3.2887,3.2911,3.2968,3.2871,3.2936,3.2871,3.2936,3.2549,3.2799,3.2871,3.2919,3.2992
0.0753,1782562475.9384,2926.229255,0.0000,0.0000,0.00000,3.2911,3.2863,3.2984,3.2976,3.3000,3.2968,3.3000,3.2936,3.2968,3.2839,3.2911,3.2645,3.2823,3.2855,3.2871,3.2952,3.2718,3.2847,3.2887,3.2984,3.2968,3.2831,3.2984,3.2992,3.3000,3.2976
0.0763,1782562475.9394,2926.230454,0.0000,0.0000,0.00000,3.2923,3.3000,3.3000,3.3000,3.2887,3.2911,3.2565,3.2807,3.2863,3.2887,3.2968,3.2718,3.2911,3.2936,3.3000,3.2984,3.3000,3.3000,3.3000,3.3000,3.2911,3.3000,3.2984,3.2992,3.2863,3.2895
0.0776,1782562475.9406,2926.231655,0.0000,0.0000,0.00000,3.2903,3.2597,3.2807,3.2871,3.3000,3.3000,3.2871,3.2992,3.2976,3.3000,3.2984,3.3000,3.3000,3.3000,3.2936,3.2911,3.3000,3.2903,3.2919,3.2799,3.2927,3.2581,3.2831,3.2855,3.2863,3.2952
0.0790,1782562475.9420,2926.232855,0.0000,0.0000,0.00000,3.2915,3.2992,3.3000,3.3000,3.3000,3.2944,3.3000,3.2984,3.3000,3.2823,3.2895,3.2952,3.2919,3.2871,3.2831,3.2927,3.2653,3.2847,3.2887,3.2992,3.2976,3.2678,3.2847,3.2855,3.3000,3.2992
0.0801,1782562475.9432,2926.234054,0.0000,0.0000,0.00000,3.2929,3.3000,3.3000,3.2952,3.2831,3.2903,3.2597,3.2799,3.2871,3.2871,3.2976,3.2766,3.2911,3.2984,3.3000,3.2984,3.2911,3.3000,3.2992,3.3000,3.3000,3.3000,3.3000,3.3000,3.2992,3.2895
0.0813,1782562475.9444,2926.235255,0.0000,0.0000,0.00000,3.2908,3.2581,3.2823,3.2863,3.2952,3.2992,3.2670,3.2895,3.2936,3.3000,3.2992,3.3000,3.3000,3.3000,3.3000,3.2911,3.3000,3.2984,3.2968,3.2839,3.2927,3.2823,3.2823,3.2895,3.2871,3.2960
