t_rel_s,t_unix,force_net_n,load_cell_raw_n,load_cell_voltage_v,touch_i_final,v00,v01,v02,v03,v10,v11,v12,v13,v20,v21,v22,v23,v30,v31,v32,v33
1.2480,1782154918.0674,0.0000,0.0000,0.00000,0.0000,3.2903,3.2629,3.2734,3.2645,3.2299,3.2404,3.2726,3.2605,3.3000,3.2750,3.2742,3.2686,3.3000,3.2726,3.2734,3.2718
1.2681,1782154918.0876,0.0000,0.0000,0.00000,0.0000,3.2903,3.2629,3.2734,3.2645,3.2299,3.2404,3.2726,3.2605,3.3000,3.2750,3.2742,3.2686,3.3000,3.2726,3.2734,3.2718
1.2891,1782154918.1085,0.0000,0.0000,0.00000,0.0000,3.2903,3.2629,3.2734,3.2645,3.2299,3.2404,3.2726,3.2605,3.3000,3.2750,3.2742,3.2686,3.3000,3.2726,3.2734,3.2718
1.3097,1782154918.1291,0.0000,0.0000,0.00000,0.0000,3.2903,3.2629,3.2734,3.2645,3.2299,3.2404,3.2726,3.2605,3.3000,3.2750,3.2742,3.2686,3.3000,3.2726,3.2734,3.2718
1.3298,1782154918.1493,0.0000,0.0000,0.00000,0.0000,3.2903,3.2629,3.2734,3.2645,3.2299,3.2404,3.2726,3.2605,3.3000,3.2750,3.2742,3.2686,3.3000,3.2726,3.2734,3.2718
1.3501,1782154918.1696,0.0000,0.0000,0.00000,0.0000,3.2653,3.2653,3.2782,3.2645,3.2807,3.2476,3.2694,3.2549,3.3000,3.2670,3.2742,3.2702,3.2742,3.2718,3.2766,3.2670
1.3704,1782154918.1899,0.0000,0.0000,0.00000,0.0000,3.2653,3.2653,3.2782,3.2645,3.2807,3.2476,3.2694,3.2549,3.3000,3.2670,3.2742,3.2702,3.2742,3.2718,3.2766,3.2670
1.3906,1782154918.2101,0.0000,0.0000,0.00000,0.0000,3.2653,3.2653,3.2782,3.2645,3.2807,3.2476,3.2694,3.2549,3.3000,3.2670,3.2742,3.2702,3.2742,3.2718,3.2766,3.2670
1.4121,1782154918.2315,0.0000,0.0000,0.00000,0.0000,3.2653,3.2653,3.2782,3.2645,3.2807,3.2476,3.2694,3.2549,3.3000,3.2670,3.2742,3.2702,3.2742,3.2718,3.2766,3.2670
1.4324,1782154918.2518,0.0000,0.0000,0.00000,0.0000,3.2653,3.2653,3.2782,3.2645,3.2807,3.2476,3.2694,3.2549,3.3000,3.2670,3.2742,3.2702,3.2742,3.2718,3.2766,3.2670
1.4527,1782154918.2721,0.0000,0.0000,0.00000,0.0000,3.3000,3.2742,3.2710,3.2645,3.2476,3.2452,3.2718,3.2589,3.2670,3.2694,3.2766,3.2686,3.3000,3.2742,3.2766,3.2662
1.4728,1782154918.2922,0.0000,0.0000,0.00000,0.0000,3.3000,3.2742,3.2710,3.2645,3.2476,3.2452,3.2718,3.2589,3.2670,3.2694,3.2766,3.2686,3.3000,3.2742,3.2766,3.2662
1.4929,1782154918.3124,0.0000,0.0000,0.00000,0.0000,3.3000,3.2742,3.2710,3.2645,3.2476,3.2452,3.2718,3.2589,3.2670,3.2694,3.2766,3.2686,3.3000,3.2742,3.2766,3.2662
1.5131,1782154918.3325,0.0000,0.0000,0.00000,0.0000,3.3000,3.2742,3.2710,3.2645,3.2476,3.2452,3.2718,3.2589,3.2670,3.2694,3.2766,3.2686,3.3000,3.2742,3.2766,3.2662
1.5332,1782154918.3527,0.0000,0.0000,0.00000,0.0000,3.3000,3.2742,3.2710,3.2645,3.2476,3.2452,3.2718,3.2589,3.2670,3.2694,3.2766,3.2686,3.3000,3.2742,3.2766,3.2662
1.5558,1782154918.3752,0.0000,0.0000,0.00000,0.0000,3.2750,3.2637,3.2726,3.2645,3.2516,3.2541,3.2742,3.2597,3.3000,3.2742,3.2742,3.2662,3.3000,3.2645,3.2742,3.2694
1.5759,1782154918.3954,0.0000,0.0000,0.00000,0.0000,3.2750,3.2637,3.2726,3.2645,3.2516,3.2541,3.2742,3.2597,3.3000,3.2742,3.2742,3.2662,3.3000,3.2645,3.2742,3.2694
1.5961,1782154918.4156,0.0000,0.0000,0.00000,0.0000,3.2750,3.2637,3.2726,3.2645,3.2516,3.2541,3.2742,3.2597,3.3000,3.2742,3.2742,3.2662,3.3000,3.2645,3.2742,3.2694
1.6164,1782154918.4359,0.0000,0.0000,0.00000,0.0000,3.2750,3.2637,3.2726,3.2645,3.2516,3.2541,3.2742,3.2597,3.3000,3.2742,3.2742,3.2662,3.3000,3.2645,3.2742,3.2694
1.6368,1782154918.4562,0.0000,0.0000,0.00000,0.0000,3.2750,3.2637,3.2726,3.2645,3.2516,3.2541,3.2742,3.2597,3.3000,3.2742,3.2742,3.2662,3.3000,3.2645,3.2742,3.2694
1.6594,1782154918.4788,0.0000,0.0000,0.00000,0.0000,3.3000,3.2710,3.2678,3.2645,3.2968,3.2484,3.2629,3.2589,3.2895,3.2694,3.2766,3.2726,3.2670,3.2670,3.2726,3.2718
1.6798,1782154918.4993,0.0000,0.0000,0.00000,0.0000,3.3000,3.2710,3.2678,3.2645,3.2968,3.2484,3.2629,3.2589,3.2895,3.2694,3.2766,3.2726,3.2670,3.2670,3.2726,3.2718
1.7000,1782154918.5194,0.0000,0.0000,0.00000,0.0000,3.3000,3.2710,3.2678,3.2645,3.2968,3.2484,3.2629,3.2589,3.2895,3.2694,3.2766,3.2726,3.2670,3.2670,3.2726,3.2718
1.7202,1782154918.5396,0.0000,0.0000,0.00000,0.0000,3.3000,3.2710,3.2678,3.2645,3.2968,3.2484,3.2629,3.2589,3.2895,3.2694,3.2766,3.2726,3.2670,3.2670,3.2726,3.2718
1.7403,1782154918.5598,0.0000,0.0000,0.00000,0.0000,3.3000,3.2613,3.2718,3.2686,3.2613,3.2396,3.2597,3.2662,3.2887,3.2734,3.2710,3.2670,3.2911,3.2613,3.2742,3.2718
1.7611,1782154918.5805,0.0000,0.0000,0.00000,0.0000,3.3000,3.2613,3.2718,3.2686,3.2613,3.2396,3.2597,3.2662,3.2887,3.2734,3.2710,3.2670,3.2911,3.2613,3.2742,3.2702
1.7817,1782154918.6011,0.0000,0.0000,0.00000,0.0000,3.3000,3.2613,3.2718,3.2686,3.2613,3.2396,3.2597,3.2662,3.2887,3.2734,3.2710,3.2670,3.2911,3.2613,3.2742,3.2702
1.8024,1782154918.6219,0.0000,0.0000,0.00000,6.7092,3.3000,3.2613,3.2718,3.2686,3.2613,3.2396,3.2597,3.2662,3.2887,3.2734,3.2710,3.2670,3.2911,3.2613,3.2742,3.2702
1.8228,1782154918.6422,0.0000,0.0000,0.00000,163.3880,3.3000,3.2613,3.2718,3.2686,3.2613,3.2396,3.2597,3.2662,3.2887,3.2734,3.2710,3.2670,3.2911,3.2613,3.2742,3.2702
1.8434,1782154918.6629,0.0000,0.0000,0.00000,0.0000,3.2831,3.2573,3.2734,3.2686,3.0034,3.1864,3.2678,3.2637,3.2420,3.2363,3.2605,3.2662,3.0607,3.2412,3.2710,3.2694
1.8639,1782154918.6834,0.0000,0.0000,0.00000,11.2294,3.2831,3.2573,3.2734,3.2686,3.0034,3.1864,3.2678,3.2637,3.2420,3.2363,3.2605,3.2662,3.0607,3.2412,3.2710,3.2694
1.8843,1782154918.7037,0.0000,0.0000,0.00000,8.2981,3.2831,3.2573,3.2734,3.2686,3.0034,3.1864,3.2678,3.2637,3.2420,3.2363,3.2605,3.2662,3.0607,3.2412,3.2710,3.2694
1.9049,1782154918.7243,0.0000,0.0000,0.00000,-12.3854,3.2831,3.2573,3.2734,3.2686,3.0034,3.1864,3.2678,3.2637,3.2420,3.2363,3.2605,3.2662,3.0607,3.2412,3.2710,3.2694
1.9250,1782154918.7444,0.0000,0.0000,0.00000,-15.9032,3.2831,3.2573,3.2734,3.2686,3.0034,3.1864,3.2678,3.2637,3.2420,3.2363,3.2605,3.2662,3.0607,3.2412,3.2710,3.2694
1.9452,1782154918.7647,0.0000,0.0000,0.00000,0.0000,3.3000,3.2718,3.2734,3.2597,3.2500,3.2476,3.2758,3.2557,3.2694,3.2702,3.2782,3.2702,3.2887,3.2782,3.2750,3.2726
1.9655,1782154918.7850,0.0000,0.0000,0.00000,297.5567,3.3000,3.2718,3.2734,3.2597,3.2500,3.2476,3.2758,3.2557,3.2694,3.2702,3.2782,3.2702,3.2887,3.2782,3.2750,3.2726
1.9860,1782154918.8054,0.0000,0.0000,0.00000,268.6692,3.3000,3.2718,3.2734,3.2597,3.2500,3.2476,3.2758,3.2557,3.2694,3.2702,3.2782,3.2702,3.2887,3.2782,3.2750,3.2726
2.0063,1782154918.8257,0.0000,0.0000,0.00000,-1.2469,3.3000,3.2718,3.2734,3.2597,3.2500,3.2476,3.2758,3.2557,3.2694,3.2702,3.2782,3.2702,3.2887,3.2782,3.2750,3.2726
2.0265,1782154918.8460,0.0000,0.0000,0.00000,391.6783,3.3000,3.2718,3.2734,3.2597,3.2500,3.2476,3.2758,3.2557,3.2694,3.2702,3.2782,3.2702,3.2887,3.2782,3.2750,3.2726
2.0467,1782154918.8661,0.0000,0.0000,0.00000,-3.7787,3.3000,3.2645,3.2782,3.2516,3.2379,3.2581,3.2734,3.2500,3.3000,3.2734,3.2726,3.2573,3.2879,3.2678,3.2710,3.2557
2.0682,1782154918.8876,0.0000,0.0000,0.00000,0.0000,3.3000,3.2645,3.2782,3.2516,3.2379,3.2581,3.2734,3.2500,3.3000,3.2734,3.2726,3.2573,3.2879,3.2678,3.2710,3.2557
2.0885,1782154918.9080,0.0000,0.0000,0.00000,0.0000,3.3000,3.2645,3.2782,3.2516,3.2379,3.2581,3.2734,3.2500,3.3000,3.2734,3.2726,3.2573,3.2879,3.2678,3.2710,3.2557
2.1089,1782154918.9283,0.0000,0.0000,0.00000,0.0000,3.3000,3.2645,3.2782,3.2516,3.2379,3.2581,3.2734,3.2500,3.3000,3.2734,3.2726,3.2573,3.2879,3.2678,3.2710,3.2557
2.1290,1782154918.9485,0.0000,0.0000,0.00000,-27.9504,3.3000,3.2645,3.2782,3.2516,3.2379,3.2581,3.2734,3.2500,3.3000,3.2734,3.2726,3.2573,3.2879,3.2678,3.2710,3.2557
2.1492,1782154918.9686,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2750,3.2621,3.2589,3.2484,3.2742,3.2637,3.2662,3.2670,3.2742,3.2710,3.3000,3.2742,3.2766,3.2670
2.1729,1782154918.9923,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2750,3.2621,3.2589,3.2484,3.2742,3.2637,3.2662,3.2670,3.2742,3.2710,3.3000,3.2742,3.2766,3.2670
2.1931,1782154919.0125,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2750,3.2621,3.2589,3.2484,3.2742,3.2637,3.2662,3.2670,3.2742,3.2710,3.3000,3.2742,3.2766,3.2670
2.2132,1782154919.0326,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2750,3.2621,3.2589,3.2484,3.2742,3.2637,3.2662,3.2670,3.2742,3.2710,3.3000,3.2742,3.2766,3.2670
2.2333,1782154919.0528,0.0000,0.0000,0.00000,0.0000,3.3000,3.2726,3.2750,3.2621,3.2589,3.2484,3.2742,3.2637,3.2662,3.2670,3.2742,3.2710,3.3000,3.2742,3.2766,3.2670
2.2535,1782154919.0729,0.0000,0.0000,0.00000,11.0862,3.2613,3.2662,3.2734,3.2500,3.2790,3.2363,3.2710,3.2508,3.3000,3.2678,3.2742,3.2637,3.2895,3.2670,3.2790,3.2662
